date,ticker,company,source_type,source_id,title,action_type,impact_direction,certainty,impact_nature,wiki_action,wiki_path,archive_path,impact_report_path,url,notes
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188780,2025年年度报告,impact_analysis_and_force_rebuild_marker,negative,high,mixed,force_rebuild,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188780\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188780,2025年年度报告属于需重建的基础披露，且核心财务与负债结构较既有wiki发生显著变化
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188788,2026年一季度报告,impact_analysis_and_deferred_wiki_patch,negative,high,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188788\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188788,same ticker has force_rebuild in this run
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188790,关于2025年度利润分配预案的公告,impact_analysis_and_deferred_wiki_patch,mixed,high,short-term sentiment / medium-term fundamentals / risk / mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188790\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188790,same ticker has force_rebuild in this run
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188794,关于向金融机构申请综合授信额度及担保事项的公告,impact_analysis_and_deferred_wiki_patch,mixed,medium,risk / mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188794\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188794,same ticker has force_rebuild in this run
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188798,关于计提资产减值准备的公告,impact_analysis_and_deferred_wiki_patch,mixed,medium,short-term sentiment / risk / mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188798\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188798,same ticker has force_rebuild in this run
2026-04-27,002796,世嘉科技,company_disclosure,cninfo_1225188803,关于举行2025年度网上业绩说明会的公告,impact_analysis,neutral,high,short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188803\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188803,仅为年度业绩说明会召开安排，未提供可沉淀的新增经营/财务/治理事实
2026-04-27,003031,中瓷电子,policy,policy_2320ef8e4951521a,关于组织开展2026年重点用水企业、园区水效领跑者遴选工作的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_2320ef8e4951521a\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_7cb7939f180d452199a3aa6c53062a77.html,工业和信息化部
2026-04-27,003040,楚天龙,policy,policy_7198d2caaf1ac054,中央社会工作部负责人就《关于加强新就业群体服务管理的意见》答记者问,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_7198d2caaf1ac054\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067028.htm,中国政府网
2026-04-27,300098,高新兴,policy,policy_6eff1cb3f5255315,关于公开2026年第15号中国国家标准公告中国家标准全文的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_6eff1cb3f5255315\10_company_impact_analysis\impact_report.md,https://openstd.samr.gov.cn/bzgk/std/nd?no=2721,国家标准全文公开系统
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183283,2026年一季度报告,impact_analysis_and_deferred_wiki_patch,negative,medium,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183283\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183283,same ticker has force_rebuild in this run
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183285,关于2025年度利润分配预案的公告,impact_analysis_and_deferred_wiki_patch,mixed,high,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183285\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183285,same ticker has force_rebuild in this run
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183288,关于为子公司2026年度担保额度预计的公告,impact_analysis,mixed,medium,risk / short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183288\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183288,年度对子公司担保额度预计偏例行，且额度将随年度滚动变化；对公司长期业务画像与结构信息增量有限。
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183290,关于预计2026年度日常关联交易的公告,impact_analysis_and_deferred_wiki_patch,mixed,medium,risk / mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183290\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183290,same ticker has force_rebuild in this run
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183291,关于2025年度计提资产减值准备的公告,impact_analysis_and_deferred_wiki_patch,mixed,medium,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183291\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183291,same ticker has force_rebuild in this run
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183296,关于举行2025年度暨2026年第一季度网上业绩说明会的公告,impact_analysis,neutral,high,short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183296\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183296,业绩说明会召开安排属程序性信息，不构成对公司商业模式/财务锚点/资本动作的可持续新增事实
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183302,关于向银行申请综合授信额度的公告,impact_analysis,mixed,medium,risk / short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183302\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183302,综合授信额度属于年度常规融资授权，未披露落地借款、成本与担保细节，难形成可长期沉淀的经营事实。
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225183305,2025年度商誉减值测试报告,impact_analysis,neutral,medium,risk / short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225183305\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225183305,例行商誉减值测试且商誉规模很小、未产生减值，不构成需要沉淀到公司长期画像的关键信息。
2026-04-27,300134,大富科技,company_disclosure,cninfo_1225198389,2025年年度报告,impact_analysis_and_force_rebuild_marker,mixed,medium,mixed,force_rebuild,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225198389\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225198389,年度报告披露，属于需重建的基准级信息（2025年核心财务锚点、现金流/分红/重大事项更新）。
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188070,2026年一季度报告,impact_analysis_and_wiki_patch,mixed,medium,mixed,small_update,reports\company_markdown_wiki_final_collection_20260427\300504__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\300504\20260428_180011__300504__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188070\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188070,2026Q1出现利润扭亏与经营现金流显著恶化并存，属于可用于后续跟踪的阶段性财务拐点与风险信号，适合在财务与风险跟踪段落做小幅锚定更新。
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188072,天邑股份：关于公司2025年度利润分配预案的公告,impact_analysis_and_wiki_patch,mixed,high,mixed,small_update,reports\company_markdown_wiki_final_collection_20260427\300504__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\300504\20260428_180152__300504__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188072\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188072,公告提供经审计的2025年归母净利润与营收等关键财务锚点，并确认2025年度不分红及不触及规则9.4风险警示，属于可沉淀的年度资本分配与财务信息。
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188075,天邑股份：关于公司2026年度申请银行综合授信额度及提供抵押或质押担保的公告,impact_analysis_and_wiki_patch,mixed,medium,risk / mixed,small_update,reports\company_markdown_wiki_final_collection_20260427\300504__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\300504\20260428_180336__300504__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188075\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188075,新增2026年度授信上限与资产抵质押安排，可作为流动性缓释与资产受限风险的跟踪要点
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188076,天邑股份：关于公司2026年度日常关联交易预计的公告,impact_analysis,neutral,high,risk,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188076\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188076,年度例行日常关联交易额度预计，金额占营收比例极低且未改变业务/财务锚点与治理结构结论
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188077,天邑股份：关于控股股东为公司向银行申请综合授信额度提供保证担保的公告,impact_analysis_and_wiki_patch,mixed,medium,risk,small_update,reports\company_markdown_wiki_final_collection_20260427\300504__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\300504\20260428_180559__300504__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188077\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188077,补充2026年度授信安排的增信措施：控股股东提供无偿连带责任保证，属于阶段性但可追溯的融资支持信息
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188079,天邑股份：关于2025年年度和2026年一季度计提减值准备的公告,impact_analysis_and_wiki_patch,mixed,high,risk / mixed,small_update,reports\company_markdown_wiki_final_collection_20260427\300504__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\300504\20260428_180830__300504__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188079\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188079,披露并审计确认了2025年度及2026Q1减值的明确金额与结构，属于可沉淀的盈利质量/库存风险锚点。
2026-04-27,300504,天邑股份,company_disclosure,cninfo_1225188086,天邑股份：关于举行2025年度网上业绩说明会的公告,impact_analysis,neutral,high,short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225188086\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225188086,业绩说明会召开通知属常规投关安排，不构成可沉淀的长期公司事实或新增关键数据。
2026-04-27,300504,天邑股份,policy,policy_21ae4259db81cd15,工业和信息化部办公厅关于公布2025年度5G应用“扬帆”行动重点城市总结评估情况的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_21ae4259db81cd15\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_dc25a2ac2f874a07810e2b8f8b8c2d8e.html,工业和信息化部
2026-04-27,300555,ST路通,policy,policy_3ffdcb76a5a3a326,《公开募捐平台服务管理办法》解读,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_3ffdcb76a5a3a326\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067078.htm,中国政府网
2026-04-27,300555,ST路通,policy,policy_c2396e392e60fbb3,民政部 工业和信息化部 广电总局 国家新闻出版署 国家网信办关于印发《公开募捐平台服务管理办法》的通知_国务院部门文件_中国政府网,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_c2396e392e60fbb3\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/zhengceku/202604/content_7067068.htm,中国政府网
2026-04-27,300565,科信技术,policy,policy_21ae4259db81cd15,工业和信息化部办公厅关于公布2025年度5G应用“扬帆”行动重点城市总结评估情况的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_21ae4259db81cd15\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_dc25a2ac2f874a07810e2b8f8b8c2d8e.html,工业和信息化部
2026-04-27,300590,移为通信,policy,policy_6eff1cb3f5255315,关于公开2026年第15号中国国家标准公告中国家标准全文的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_6eff1cb3f5255315\10_company_impact_analysis\impact_report.md,https://openstd.samr.gov.cn/bzgk/std/nd?no=2721,国家标准全文公开系统
2026-04-27,300627,华测导航,policy,policy_6eff1cb3f5255315,关于公开2026年第15号中国国家标准公告中国家标准全文的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_6eff1cb3f5255315\10_company_impact_analysis\impact_report.md,https://openstd.samr.gov.cn/bzgk/std/nd?no=2721,国家标准全文公开系统
2026-04-27,603162,福建海通发展股份有限公司,policy,policy_7198d2caaf1ac054,中央社会工作部负责人就《关于加强新就业群体服务管理的意见》答记者问,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_7198d2caaf1ac054\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067028.htm,中国政府网
2026-04-28,000155,川能动力,company_disclosure,cninfo_1225202578,关于公司控股股东权益变动的进展公告,impact_analysis_and_wiki_patch,neutral,high,short-term sentiment / risk,small_update,reports\company_markdown_wiki_final_collection_20260427\000155__full_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\000155\20260428_181043__000155__full_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225202578\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225202578,将控股股东权益变动“尚未完成中登过户及工商变更”的状态更新到最新披露日（2026-04-28），属于治理/控制权进展的耐久信息边界刷新。
2026-04-28,000155,川能动力,policy,policy_a0eaccdbb9fe7171,五部门关于开展规范废旧动力电池回收利用联合执法专项行动的通知,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_a0eaccdbb9fe7171\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_c5091ef89af5444c9cba59a41be29b4b.html,工业和信息化部
2026-04-28,002104,恒宝股份,wiki_rebuild,,force rebuild reduced company wiki,wiki_rebuild_applied,,,,force_rebuild,reports\company_markdown_wiki_final_collection_20260427\002104__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\002104\20260428_190429__before_rebuild__002104__reduced_wiki.md,,,previous_file=002104__reduced_wiki.md; writer_output=reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\force_rebuild_reduced_wiki\05_writer_outputs\002104\kimi-k2.6\output.md
2026-04-28,002296,辉煌科技,company_disclosure,cninfo_1225208945,2025年年度报告,impact_analysis_and_force_rebuild_marker,mixed,high,mixed,force_rebuild,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225208945\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225208945,新年度年报披露，按规则需重建/全面同步核心财务与业务结构数据
2026-04-28,002296,辉煌科技,company_disclosure,cninfo_1225208952,2026年一季度报告,impact_analysis_and_deferred_wiki_patch,mixed,medium,mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225208952\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225208952,same ticker has force_rebuild in this run
2026-04-28,002296,辉煌科技,company_disclosure,cninfo_1225208954,关于2025年度利润分配预案的公告,impact_analysis_and_deferred_wiki_patch,mixed,high,short-term sentiment / medium-term fundamentals / mixed,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225208954\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225208954,same ticker has force_rebuild in this run
2026-04-28,002296,辉煌科技,company_disclosure,cninfo_1225208957,关于2025年度计提信用及资产减值准备的公告,impact_analysis_and_deferred_wiki_patch,negative,medium,risk,small_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225208957\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225208957,same ticker has force_rebuild in this run
2026-04-28,002296,辉煌科技,company_disclosure,cninfo_1225208962,关于举行2025年度网上业绩说明会的公告,impact_analysis,neutral,high,short-term sentiment,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225208962\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225208962,业绩说明会召开通知属于常规程序性披露，不构成可沉淀的经营/财务/治理新事实
2026-04-28,002296,辉煌科技,wiki_rebuild,,force rebuild reduced company wiki,wiki_rebuild_applied,,,,force_rebuild,reports\company_markdown_wiki_final_collection_20260427\002296__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\002296\20260428_190429__before_rebuild__002296__reduced_wiki.md,,,previous_file=002296__reduced_wiki.md; writer_output=reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\force_rebuild_reduced_wiki\05_writer_outputs\002296\kimi-k2.6\output.md
2026-04-28,002313,日海智能,company_disclosure,cninfo_1225203876,2026年一季度报告,impact_analysis_and_wiki_patch,mixed,medium,mixed,small_update,reports\company_markdown_wiki_final_collection_20260427\002313__reduced_wiki.md,reports\company_markdown_wiki_final_collection_20260427\_archive\002313\20260428_181608__002313__reduced_wiki.md,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225203876\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225203876,新增2026Q1关键财务锚点（扭亏、毛利率下滑、经营现金流转负、短债上升）可作为后续跟踪公司修复与风险的最新基准
2026-04-28,002313,日海智能,policy,policy_1fe09444e12e72c0,专家解读｜以人民为中心：网络法治的民生温度与公平正义,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_1fe09444e12e72c0\10_company_impact_analysis\impact_report.md,https://www.cac.gov.cn/2026-04/28/c_1779117456079045.htm,中央网信办
2026-04-28,002396,星网锐捷,policy,policy_a35cb6ccea72fbb4,工业和信息化部关于2026年第一季度电信服务质量的通告,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_a35cb6ccea72fbb4\10_company_impact_analysis\impact_report.md,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tg/art/2026/art_e0de7563ed214d8bb740e1a1b3633cc0.html,工业和信息化部
2026-04-28,002396,星网锐捷,policy,policy_e7e62152b09f3acc,促进服务业优质高效发展——国务院政策例行吹风会介绍《关于推进服务业扩能提质的意见》有关情况,impact_analysis,,,,no_update,,,reports\policy_news_impact_runs\policy_news_impact_20260425_20260428_r1\policy_e7e62152b09f3acc\10_company_impact_analysis\impact_report.md,https://www.gov.cn/zhengce/202604/content_7067271.htm,中国政府网
2026-04-28,002491,通鼎互联,company_disclosure,cninfo_1225217014,关于出售股份暨关联交易的公告,impact_analysis,neutral,high,short-term sentiment / risk,no_update,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225217014\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225217014,交易规模小且标的未经营，更多是一次性关联交易程序信息，对公司长期业务与财务锚点影响有限
2026-04-28,002491,通鼎互联,company_disclosure,cninfo_1225217016,2025年年度报告,impact_analysis_and_force_rebuild_marker,negative,medium,mixed,force_rebuild,,,reports\company_disclosure_impact_runs\company_disclosure_impact_20260425_20260428_full_apply_r2\cninfo_1225217016\04_company_disclosure_impact\output.txt,https://www.cninfo.com.cn/new/disclosure/detail?announcementId=1225217016,2025年年度报告披露（按规则需重建/全量更新年报锚点与业务结构、风险与现金流指标）
